CDR常见问题与操作技巧 :  1 《免费设计素材大合集小组》
黑莓菜鸟到高手必读——多啦猫出品 :  76 《黑莓小组》
2.4更新 记录下我的越狱插件&app :  313 《iPhone&App小组》
顶相机饰皮有背胶让你的机子焕然一新 或者更加亮骚吧 :  45 《一二手相机市场小组》
重装系统或是换了台电脑，想不靠同步就能读取所有笔记的办法 :  50 《印象笔记小组》
嫌你手机屏幕小，教你如何开挂，动手制作手机投影仪！！！！！！！！！！！！！ :  129 《爱手机爱生活小组》
【随笔】我也说说相机始末 :  86 《数码单反DSLR俱乐部小组》
Evernote实用技巧 :  539 《印象笔记小组》
都散了吧 :  40 《C语言小组》
奉献一些科普经典著作，绝不会令你失望的 :  159 《高级科普小组》
爱看豆关了以后可替代的网站 :  1631 《AMAZON KINDLE | 豆瓣最老字号小组》
【图片目录 】（1月27日更新） :  97 《图片素材社小组》
出一些自己不常用的镜头、机身和一些杂物 :  42 《一二手相机市场小组》
一高人对森海各型号耳机的理解 :  210 《Sennheiser /森海塞尔小组》
豆瓣阅读推送到kindle服务 :  640 《KINDLE小组》
求一款性价比高的微单 :  148 《微单相机小组》
经典文章备忘 :  91 《豆瓣精华推荐小组》
Kindle屏坏复活记 --- 这才是售后啊 :  156 《KINDLE小组》
学Python得会点Linux吧，分享Linux基础视频 :  60 《Python编程小组》
拓扑：游走于直观与抽象之间【转】 :  45 《纯数学小组》
共享我收藏的Coursera、Udacity等课程【百度云】（15.11.06 更新） :  479 《Coursera Learning Platform小组》
【C语言学习资料大全】，想要的速度留下邮箱 :  113 《C语言小组》
☆表情☆表情/动物/杂物... :  171 《颜文字推进委员会小组》
【神帖】超全的各种耳机测评帖！！！ :  84 《烧耳机小组》
kindle3英文阅读体验及使用技巧（给想买和新买Kindle的朋友们） :  1199 《KINDLE小组》
国外优秀photoshop教程网站集合 :  882 《我爱PS小组》
office2010【中文完整版】及其【教学高清视频】，需要的来！！ :  56 《Excel 大师小组》
kindle 免费中文资源下载汇总（2012.9.16更新） :  545 《KINDLE小组》
我收集的EPUB（爱问） :  79 《epub书库小组》
deleted :  55 《KINDLE小组》
豆瓣--产品分析 :  168 《职人社 × 产品经理交流小组》
【申请长期置顶】物理组资源汇总（1st Edition） :  311 《物理学 Physics小组》
分享一下我收集了好几年的电子书，各种类型都有，小说，文学，物理，工作，计算机，育儿，漫画，字典，日语，还有其他，???? :  299 《KINDLE小组》
SICP 公开课 中文字幕 :  104 《scheme小组》
一些值得一读的数学论文（5/29更新） :  301 《纯数学小组》
国外知名IT网站Stackoverflow评选的最有影响力IT图书 :  487 《程序员书屋小组》
大家都来推荐私藏的好APP！！ :  124 《iPhone&App小组》
IUB HCI/d 说明 :  43 《HCI 人机交互小组》
开年利是：印象笔记2014模板精选！ :  230 《印象笔记小组》
关于精神病的那些事儿 :  161 《科学松鼠会读者花园小组》
无需越狱！糖果粉碎传奇Candy Crush Saga无限心内购修改存档【转】 :  138 《iPhone&App小组》
LEICA M6的详细介绍 :  85 《Leica M6小组》
几个超级牛逼的LR预设文件 :  56 《数码暗房.后期软件交流.小组》
推荐2款Mac上免费的背单词软件 :  470 《苹果迷小组》
潜水这么久分享下吧我的百度网盘！！！！！！！！！！！！！！！！！！！！！！！！！！！！！11 :  114 《AMAZON KINDLE | 豆瓣最老字号小组》
如果现在重新开发douban，会选择什么开发框架？ :  50 《Python编程小组》
借《拓扑学基本教程》一书谈拓扑学[转] :  55 《纯数学小组》
kpw海淘教学 :  1045 《KINDLE小组》
冲卷+扫描+底片袋+回传=13元 :  240 《一二手相机市场小组》
官方出现英汉词典和新华字典了，有下载 :  143 《AMAZON KINDLE | 豆瓣最老字号小组》
最值得学习的10大印象笔记整理术！ :  366 《印象笔记小组》
啥是四维空间？ :  69 《高级科普小组》
九大微博传播分析工具 :  203 《我们都是微博控小组》
网上一些统计方面的开放式视频课程 :  409 《统计学小组》
【分享】PS视频教程合集  从入门到精通 【独家典藏】 :  335 《Photoshop小组》
好消息：【免费赠送kindle畅销书】 :  97 《KINDLE小组》
调查：大家ipod 里最喜欢和常用的app :  487 《iPod touch小组》
［2013版］我也谈怎么买一个笔记本（二） :  85 《豆瓣笔记本电脑工会小组》
很经典的Photoshop教程 :  1867 《Photoshop小组》
再论C语言指针、地址、赋值的问题，又是一通“扯” :  59 《C语言小组》
训练自己“形象思维”，5招就能搞定！ :  360 《印象笔记小组》
【家居相册】 集合帖，装修家饰必备！！ :  208 《【豆瓣相册】精选集小组》
科学史上著名公案系列（方舟子） :  47 《高级科普小组》
那啥，iPod+iTunes有问必答贴 [更新一堆教程] :  55 《iPod classic小组》
❤推荐一下你们各自的小BLOG。今天做了彻底整理！~(2012.03.24)更新更新~） :  80 《博客大巴豆瓣小组小组》
经典PS实例教程1000例 ~ :  303 《Photoshop小组》
求类似 爱看豆 的网站。。 :  237 《KINDLE小组》
使用柯达C-41B多彩组合套药手工冲洗彩色负片攻略 :  141 《一二手相机市场小组》
美国大学统计学视频课程 :  172 《统计学小组》
857本优秀Kindle经典免费中文电子书和6000余本经典电子书 :  380 《KINDLE小组》
【廖阅鹏－实用催眠系列 】【MP3】 :  374 《VeryCD小组》
我真的是价廉的职业日本代购 :  126 《一二手相机市场小组》
【分享珍藏书】时间管理全集，完美治愈拖延 :  105 《KINDLE小组》
Kindle专用 261本豆瓣高分图书EPUB精编版 :  110 《Kindle Touch Paperwhite小组》
【下载】動く顔文字43只打包（午夜重传！） :  37 《颜文字推进委员会小组》
对比百度百科，维基百科需要怎样改进？ :  37 《维基百科 Wikipedia小组》
KINDLE的左张龙右赵虎 :  115 《KINDLE小组》
2010-2012全年科学美国人，2012全年国家地理pdf下载 :  473 《科学松鼠会读者花园小组》
【教程】爱看豆上下载书籍的最新方法（更新：已无效） :  98 《KINDLE小组》
优秀国外Podcast汇总 :  2066 《Podcast讨论交流小组》
徐宥：我的大学 （转载） :  241 《计算机科学 Computer Science小组》
量子场论讲义与资源 :  146 《理论物理/Theoretical Physics小组》
给用PHOTOSHOP软件的初学者一点建议 :  235 《Photoshop小组》
Hipstamatic实战指南 :  99 《用iphone拍照片小组》
网络爬虫怎么用 :  115 《Python编程小组》
程序员必读书单 :  314 《程序员书屋小组》
【新手推荐】两个好用的kindle相关软件 :  610 《KINDLE小组》
一个物理资源丰富的网站，可以下到19世纪的物理评论 :  234 《物理学 Physics小组》
教你如何将IPOD中的音乐导入电脑（看到许多提问，就来回答一下吧） :  317 《iPod classic小组》
flickr都能怎么玩儿 :  196 《flickr小组》
【有用资料分享】美国Michigan机械工程课程 :  91 《机械工程师小组》
【转载】我的大学六年(郭天祥原创) :  176 《电子信息工程小组》
一些podcast推荐|Nov.4 Updated :  209 《Podcast讨论交流小组》
一堆日本名人的twitter帳號 :  180 《Twitter小组》
吊丝老板vs高帅富老板 :  77 《互联网挖掘实验室小组》
Photoshop教程、笔刷、滤镜详细收集 :  1544 《Photoshop小组》
Mac/imac的APP软件下载常用网站推荐 :  118 《MacbooK PRO小组》
verycd没有的资源有很多方法下载 :  122 《电骡青年：eMule+Youth=eMuth小组》
Office系列经典色彩搭配共享之excel配色解决方案 :  125 《彻彻底底的玩死excel小组》
学习了：精选Mac使用技巧，很实用哦 :  140 《MacBooK Pro小组》
【素材】【1１０２１４更新和風素材）素材網站分享♥ :  158 《抽 屉小组》
怎样做一个交互设计入门者 :  89 《HCI 人机交互小组》
一人推荐一款好玩的游戏或好用的软件吧 :  63 《iPhone & iPad小组》
topit.me使用细节 :  67 《TOPIT.ME小组》
Axure注册码(验证可用) :  162 《Axure RP小组》
分享几个下载豆瓣资源的chrome插件 :  357 《Google      Chrome小组》
哦耶真的成功了！！ :  46 《爱大理小组》
GAE 项目汇集 :  67 《Google App Engine小组》
讲述一个关于高考的“黑客”故事：用2B铅笔“注入”阅卷系统 :  205 《计算机科学 Computer Science小组》
推荐些小清新的照片网站吧~ :  75 《图片素材社小组》
方便coursera学习的chrome扩展~ :  196 《Coursera Learning Platform小组》
日文字体下载站 :  203 《字体小组》
数据挖掘方向的硕博研究生 :  105 《数据挖掘小组》
推荐一个Chrome下的颜文字扩展 :  169 《颜文字推进委员会小组》
[ZT] epub电子书常识、制作和工具 :  78 《epub书库小组》
今天 你又哭着上校内了吗 :  168 《人人拒绝校内网小组》
【分享】Google Earth地理坐标 :  87 《Google Earth小组》
大量漫画教程115资源（一） :  281 《PaintTool SAI小组》
说说你喜欢的App~~ :  310 《iPhone&App小组》
flash快捷键大全 :  101 《我们自学flash小组》
（转）PPT专业设计师快速进阶方案大曝光 :  332 《presentation小组》
3Dmax快捷键大全 :  82 《Autodesk小组》
iPad越狱详解 :  113 《iPad小组》
Firefox资料汇集帖 :  120 《Firefox小组》
Stackoverflow上有人总结的JavaScript必知必会. :  103 《javascript小组》
Nook 2各种教程导航 （菜鸟老鸟都用得上的） :  92 《LOVE NOOK小组》
【资源贴汇总】（2009.06.05更新） :  224 《Podcast讨论交流小组》
每日一文 :  112 《吾志小组》
Python电子书（不断更新，大家可自行添加） :  95 《Python小组》
史上最全的photoshop教程集合，学完这教程，自豪地在朋友前修图。 :  93 《爱摄影爱旅行小组》
【电子商务网站】应该注意或者收集哪些用户行为,属性 :  136 《用户行为分析小组》
◎字体设计公司介绍 :  102 《字体交流与鉴赏小组》
VirtualBox虚拟机网络设置（四种方式） :  139 《网络工程小组》
：：：：：优秀网站持续更新 110719：：：：：： :  140 《AE小组》
豆瓣搜索技巧 :  113 《豆瓣学堂小组》
几个个人比较喜欢的订阅源 :  144 《Google Reader小组》
CorelDRAW-资源帖-总汇 :  230 《CorelDRAW小组》
部分收藏的优秀电子书资源网站 :  404 《Kindle Touch Paperwhite小组》
拿到Kindle之后如何将它注册为自己独有的！ :  162 《在Birdie这里买了Kindle的都到这里来！小组》
刚找到的R语言资料搜集~希望有用 :  114 《R (GNU S)小组》
用平价机成就的出色的个人相册有哪些？：） :  342 《flickr小组》
转载  海量PSP游戏Fs2You下载 :  149 《PSP小组》
目前还存活的多个电驴下载站点！（2011年更新） :  132 《电骡青年：eMule+Youth=eMuth小组》
终于有好用的语法检查工具了！ :  224 《Vim小组》
我用的拍照软件 :  144 《用iphone拍照片小组》
[求推荐] 自己写的豆瓣电影下载插件（兼容chrome和firefox） :  750 《豆瓣插件小组》
为艺术家设计师写的Arduino互动入门(待续) :  216 《processing学习组小组》
Apps(应用/游戏)推荐汇总帖-更新至2011.03.21 :  150 《App Store小组》
09-01豆瓣FM小助手2013大改版~恢复320kbps码率下载！ :  491 《豆瓣FM小组》
【优质资源】著名数据可视化网站&博客汇总（2012版） :  224 《信息可视化 infographics小组》
国内外著名PT网站大全 :  270 《PT&邀请&IPV6小组》
] 在英国其实可以不用那么贵！~ :  383 《豆瓣精华推荐小组》
【素材】博客背景 平铺素材 集 :  201 《抽 屉小组》
library.nu replacements, a list :  131 《Mendeley小组》
follow上twitter名人！（整理中） :  163 《推特中文圈丨twitese小组》
转贴：一个清华大学生几天猎头生活的感想！ :  235 《程序员小组》
【征集】邻居的耳朵有声电台征稿ing :  270 《邻居的耳朵小组》
机械专业的出路（强烈推荐给广大机械专业的学生） :  426 《机械工程师小组》
在麻省理工读计算机专业，看美国的计算机教育（来自校内网）（来自校内网） :  297 《计算机科学 Computer Science小组》
好多设计网站 :  268 《网页设计师联盟小组》
WORD 排版十技巧 :  329 《WORD文档分享小组》
【资源】好网站、设计资源汇总，欢迎分享 :  298 《以用户为中心的设计小组》
四个教程快速提高ppt水平 :  463 《presentation小组》
24 个必学的 Google+ 小技巧 :  278 《Google+小组》
Mac OS X 背後的故事 :  364 《Mac & iPhone开发者之家小组》
【平铺】微博壁纸连续图案什么的 :  281 《【推荐分类】素材站起来！小组》
收集了一些python的文章 :  517 《Python编程小组》
【豆藤】(2014.02.13更新 全站音乐hack，小组分类复活) :  1039 《豆瓣插件小组》
推荐几个教育类的视频网站 :  1050 《TEDTalks小组》
陆洪勇：豆瓣网的调查分析 :  387 《网站推广案例+营销方法小组》
靠谱的豆列 :  420 《豆瓣精华推荐小组》
Evernote 共享笔记本 :  724 《印象笔记小组》
(转)日系风的照片是怎样处理的 :  2754 《Photoshop小组》
[使用感受01-19更新]哈，入手K3+3G 快3周了。谈谈我的个人感想吧 :  1295 《KINDLE小组》
【2011.12.25更新】按价格尺寸整理(附理由) 推荐一些各方面均衡的机型 拿钱选机最快速 希望有效帮你快速选 :  520 《豆瓣笔记本电脑工会小组》
【12月28日更新】我们为什么拒绝校内！{{大家新年快乐}} :  494 《人人拒绝校内网小组》
百度百科经典算法集合【完善中】 :  649 《算法与数据结构小组》
Kindle推送是什么，以及如何设置。 :  361 《在Birdie这里买了Kindle的都到这里来！小组》
我姐和我女友是如何学编程的 :  514 《互联网挖掘实验室小组》
豆瓣之路 :  1794 《豆瓣fans小组》
来吧！给力的资源下载网址！ :  1010 《Kindle Touch Paperwhite小组》
【分享】PPT小技巧 :  915 《presentation小组》
专门让男盆友给做了一个颜文字的浏览器插件 （・∀・） :  1204 《颜文字推进委员会小组》
follow上twitter名人！（整理中） :  2142 《Twitter小组》
